trial_id,max_num_of_clusters,max_dissimilarity_distance,similarity_threshold,window_size,metric,similarity_vectors,embedding_distance_metric,distance_metric,number_of_permutations,ngrams,char_tokenization,num_of_comparisons,diffObjectsComparedSuccess,sameObjectsCompared,sameObjectsComparedSuccess,selection_variance,selectedNumOfPrototypes,averageBucketSize,prototypesTime,embeddingsTime,wtaTime,similarityTime,Accuracy,Precision,Recall,F1,Time
7,669,0.7714877908454808,0.5829137357076273,87,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,135984,105006,10096,8433,,72,78,5.7355873584747314,2.7179973125457764,0.11100006103515625,65.1295714378357,96.4687306353973,28.766842913184377,49.07472067039106,36.27174777952214,74.4511878490448

8,873,0.8388651584380423,0.5818363101247921,32,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,True,195210,149710,12032,10059,,34,18,5.4670000076293945,1.3689990043640137,0.01999950408935547,89.973881483078,95.16266266266267,23.109793921014543,58.53701117318436,33.13732272570044,97.61587953567505

9,469,0.44852640220425977,0.5571452603867145,40,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,225019,185682,12537,11331,,255,49,3.931622266769409,11.525236129760742,0.14699769020080566,115.02578377723694,96.24255207588541,30.430749924980223,64.91503724394786,41.43682323879572,131.40564012527466

10,285,0.10868138521406473,0.683708298160371,64,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,451316,421512,16600,11769,,240,143,1.3860008716583252,10.006944417953491,0.35799622535705566,217.311909198761,97.82901949568617,47.76151714582612,64.19343575418995,54.7715988083416,229.8318474292755

11,846,0.1973480829393622,0.5509900155372904,100,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,322877,278665,15192,12929,,679,130,12.465595245361328,29.224793672561646,0.6979613304138184,190.78345561027527,96.23051623051623,31.346829167527368,70.64711359404097,43.42538274431249,233.91083788871765

12,484,0.5716419757642287,0.6545828492075465,73,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,265334,238726,15626,12475,,161,122,4.027270793914795,6.6988091468811035,0.20300507545471191,116.92659115791321,98.14040230706897,53.611123816493624,68.20879888268156,60.03534202371501,128.5849220752716

13,354,0.27066069183847946,0.5846257526894967,92,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,376769,322165,16605,13477,,277,168,2.333050489425659,12.318636178970337,0.37499403953552246,181.78695678710938,95.51897135230469,27.55808585936298,72.95740223463687,40.00510554110759,197.58163261413574

14,349,0.6410148186508605,0.6095025976503017,77,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,173248,144568,12964,11354,,93,141,2.284191370010376,4.75300145149231,0.24700212478637695,94.07956576347351,97.4974974974975,42.62009747041077,64.12360335195531,51.205911055346434,102.21476793289185

15,373,0.3167176175603058,0.6397269360332039,60,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,427299,390772,16604,12929,,277,128,2.4960031509399414,11.587267398834229,0.39099597930908203,210.31576561927795,97.18730635397303,39.48428950558632,70.12918994413407,50.52300597421653,225.5590283870697

16,537,0.10035288977190729,0.5913473533440651,82,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,243282,208010,14713,12126,,458,77,5.303577423095703,18.620522499084473,0.3789958953857422,126.69279098510742,97.04573621240287,37.479838046018635,66.25931098696462,47.877551878561064,151.78988575935364

17,201,0.506293016327463,0.6249929687679074,92,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,151706,126720,11823,9938,,96,166,0.8619985580444336,4.353037595748901,0.19500017166137695,70.69396162033081,97.70961437628104,45.27873110101104,56.814478584729976,50.3948794714293,76.87099742889404

18,331,0.6795678372984454,0.6817785402549889,53,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,236822,213509,14316,11212,,71,63,2.0420007705688477,3.3799991607666016,0.08999967575073242,123.51909446716309,98.27982744649411,57.39574926015604,62.0751862197393,59.643825659090275,129.75812530517578

19,544,0.21168947068728766,0.5702979109761644,80,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,362197,312751,16373,13448,,435,112,5.053351163864136,17.80171251296997,0.5030004978179932,201.35768699645996,96.11325611325611,31.064101305585552,73.66154562383612,43.69950977007526,225.45910000801086

20,766,0.19804566996693335,0.6601377170932804,69,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,327411,301692,15955,12598,,626,109,10.47835111618042,26.79593539237976,0.6250321865081787,198.83322429656982,98.23728490395158,55.85241730279898,66.42225325884544,60.68048910154174,237.49156522750854

21,558,0.22372123821696543,0.5675016500616448,82,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,323556,274602,15765,12983,,444,132,5.229422569274902,17.45858120918274,0.5640003681182861,180.75064873695374,95.7356165689499,28.43162264325966,71.34543761638734,40.659978442915175,204.75268816947937

22,420,0.3342825171098428,0.595439674115348,93,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,245507,209093,15015,12189,,309,137,3.287604331970215,13.295482158660889,0.3320016860961914,117.17403650283813,96.85292435292435,35.66077035471135,66.75395716945997,46.4874065368483,134.9061279296875

23,561,0.473226162890691,0.5777937723145211,79,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,330004,283523,16813,13371,,275,146,5.542776823043823,11.752183198928833,0.4290041923522949,173.59560799598694,96.37983221316556,32.585455985218424,71.84008379888269,44.834661969529144,192.12256860733032

