trial_id,max_num_of_clusters,max_dissimilarity_distance,similarity_threshold,window_size,metric,similarity_vectors,embedding_distance_metric,distance_metric,number_of_permutations,ngramms,char_tokenization,num_of_comparisons,diffObjectsComparedSuccess,sameObjectsCompared,sameObjectsComparedSuccess,selection_variance,selectedNumOfPrototypes,averageBucketSize,prototypesTime,embeddingsTime,wtaTime,similarityTime,Accuracy,Precision,Recall,F1,Time
8,758,0.2333169649272115,0.7219440280233539,104,kendal,ranked,euclid_jaccard,euclid_jaccard,5,3,False,832166,745936,17292,5798,,599,26,2.3681514263153076,5.270860433578491,0.8779969215393066,608.9271965026855,95.96096096096096,20.122300100128736,32.74557728119181,24.926907061220874,618.4742081165314

12,803,0.20816148535479867,0.5931517737442502,122,kendal,ranked,euclid_jaccard,euclid_jaccard,5,3,False,843835,732978,17246,7578,,594,20,2.6290011405944824,5.3312835693359375,1.0079994201660156,654.0654287338257,93.19033319033319,13.589313700477456,43.39501862197393,20.69721613144966,664.4437205791473

13,956,0.38954461437084675,0.5983106411323617,127,kendal,ranked,euclid_jaccard,euclid_jaccard,4,3,False,843573,737181,17095,7451,,640,20,3.897451639175415,5.981659173965454,0.7759981155395508,646.9947376251221,93.57631440964774,14.408668850679435,43.255353817504655,21.61666981721947,659.1518507003784

15,834,0.21744139290854267,0.560263923798453,67,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,False,816242,698144,17077,8010,,609,17,8.544228553771973,14.675697088241577,1.575965404510498,1110.6000826358795,92.00116783450116,12.131276824847962,46.54911545623836,19.24664043984071,1137.9030077457428

14,781,0.20679957666745916,0.5747492250311633,125,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,False,838651,722100,17110,7690,,552,18,4.0696868896484375,9.295734405517578,1.1110165119171143,1222.939269065857,92.51811335144669,12.593309599199385,44.66945996275605,19.647542137527676,1239.4246897697449

16,618,0.5096531596162343,0.5506436089492367,63,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,False,811105,668394,16926,7780,,474,11,4.080521106719971,9.449280023574829,1.0145220756530762,654.2328526973724,90.88755422088755,10.378014222317274,45.18156424581006,16.87899473890169,670.151700258255

17,650,0.5159091609791778,0.5507213674762071,61,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,False,745105,594719,16467,8054,,510,15,4.057513236999512,10.681496858596802,0.8359994888305664,611.5359892845154,91.02114018780686,10.59470738878877,45.50162942271881,17.187448480518768,628.6900334358215

18,846,0.3898244485251018,0.621673685277994,62,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,False,802838,703493,17096,7201,,636,15,2.9831860065460205,5.06818151473999,0.7619950771331787,572.9081835746765,94.11018161018161,15.383624299426657,41.68994413407821,22.474236506517347,582.8705461025238

19,993,0.40094434616530844,0.6337911897555631,65,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,False,853788,755352,17191,7048,,757,19,4.624995946884155,6.764998912811279,0.9739997386932373,670.3747971057892,94.36257686257686,15.720235792156952,40.194366852886404,22.60107000867133,683.8007981777191

