trial_id,max_num_of_clusters,max_dissimilarity_distance,similarity_threshold,window_size,metric,similarity_vectors,embedding_distance_metric,distance_metric,number_of_permutations,ngrams,char_tokenization,num_of_comparisons,diffObjectsComparedSuccess,sameObjectsCompared,sameObjectsComparedSuccess,selection_variance,selectedNumOfPrototypes,averageBucketSize,prototypesTime,embeddingsTime,wtaTime,similarityTime,Accuracy,Precision,Recall,F1,Time
16,35,0.6473902161818501,0.7483662605872906,40,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,319560,311435,501,304,,35,30,0.029963016510009766,0.6550519466400146,0.17919564247131348,369.26314878463745,99.14110845306318,6.345095500161865,56.97674418604651,11.41858432857559,370.85516905784607
17,272,0.4596234643342097,0.7235190066716164,17,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,364038,362882,523,390,,268,34,0.8490169048309326,6.898503541946411,1.1242873668670654,484.4668915271759,99.816698252561,30.865746549560853,71.51162790697676,43.120070113935135,493.995867729187
18,346,0.6531755889687416,0.6588231071679905,100,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,364480,362794,500,421,,316,39,1.0151360034942627,3.7507002353668213,0.6909961700439453,497.5659832954407,99.69214344420877,21.656534954407295,82.84883720930233,34.33734939759036,503.75619101524353
19,78,0.305260388783179,0.6206313501486441,42,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,323149,313098,426,348,,78,32,0.07291960716247559,1.1869912147521973,0.23021149635314941,407.470166683197,97.71508299417332,3.303592958765372,79.65116279069767,6.344061125260477,409.6051297187805
20,264,0.06461584243169882,0.5537587090489632,23,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,333366,328199,471,441,,263,21,0.721799373626709,3.010617971420288,0.43573999404907227,461.9282166957855,98.86319024122962,7.445086705202312,93.6046511627907,13.793103448275865,466.60389828681946
21,331,0.5212457919795431,0.7352846569032551,11,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,280780,279972,397,255,,321,14,0.8600082397460938,4.051246166229248,0.3309667110443115,324.43367433547974,99.85059071741875,34.710743801652896,61.04651162790697,44.25711275026344,330.33186435699463
22,350,0.5247059710080202,0.7354204021214704,12,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,257798,257021,366,233,,337,15,1.2509973049163818,5.625629663467407,0.3343524932861328,202.87723302841187,99.84974340579731,34.067796610169495,58.43023255813954,43.0406852248394,210.46687030792236
23,318,0.657304154082288,0.7140252444246166,29,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,268082,267154,395,280,,289,15,0.5679996013641357,2.283982992172241,0.17700481414794922,151.8912959098816,99.82658355481118,31.756756756756754,68.31395348837209,43.357933579335786,155.2372989654541
24,380,0.46651806054644945,0.7499527120970466,11,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,303895,303014,470,282,,376,22,0.5682511329650879,1.9582550525665283,0.2160024642944336,168.05521535873413,99.85482727552596,34.98233215547703,57.55813953488372,43.516483516483525,171.16872453689575
25,267,0.5812750115552439,0.7316961677551191,23,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,352269,351182,531,376,,250,33,0.3110020160675049,1.4799973964691162,0.18304657936096191,195.24097561836243,99.8384459175114,33.943661971830984,70.05813953488372,45.730550284629985,197.59101557731628
26,303,0.35172166947203537,0.7135577925312536,23,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,261718,260680,397,300,,302,32,0.5050048828125,1.7790179252624512,0.2480487823486328,155.43018054962158,99.80737782472512,29.39024390243902,70.05813953488372,41.40893470790378,158.3462483882904
27,251,0.5276640941209985,0.6769776076894244,39,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,268596,267174,396,334,,239,15,0.29199838638305664,1.3648996353149414,0.11899900436401367,152.24203968048096,99.71191404870912,22.203947368421055,78.48837209302324,34.61538461538462,154.32793617248535
28,387,0.7334952634352062,0.7353628539336639,29,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,365215,364071,559,379,,278,45,0.6859991550445557,1.5259945392608643,0.2500131130218506,220.21461462974548,99.82827817805406,31.615598885793872,65.98837209302324,42.749529190207156,223.00458192825317
