trial_id,max_num_of_clusters,max_dissimilarity_distance,similarity_threshold,window_size,metric,similarity_vectors,embedding_distance_metric,distance_metric,number_of_permutations,ngramms,char_tokenization,num_of_comparisons,diffObjectsComparedSuccess,sameObjectsCompared,sameObjectsComparedSuccess,selection_variance,selectedNumOfPrototypes,averageBucketSize,prototypesTime,embeddingsTime,wtaTime,similarityTime,Accuracy,Precision,Recall,F1,Time
27,399,0.36291122231239437,0.5649768496769187,58,kendal,initial,euclid_jaccard,euclid_jaccard,5,2,False,736099,671466,16313,8780,,327,46,0.48200321197509766,2.285111904144287,0.36699748039245605,312.61080741882324,94.07586157586158,17.305566164793856,50.09892923649907,25.725000373519,316.49802327156067
28,322,0.2521954428357021,0.6177894077811816,69,kendal,initial,euclid_jaccard,euclid_jaccard,5,2,False,830084,777113,16524,7997,,276,34,0.34099555015563965,1.7267639636993408,0.30899953842163086,421.43610167503357,95.19305019305018,20.128496232841368,45.39688081936685,27.890597068287448,424.5758476257324
29,513,0.4805097689569042,0.6438394898677006,99,kendal,initial,euclid_jaccard,euclid_jaccard,5,2,False,760268,721192,16661,7052,,395,46,0.8045058250427246,2.542037010192871,0.42499661445617676,341.9782381057739,96.67226750560084,28.132252941895032,40.206005586592184,33.10255611719331,346.4927668571472
30,445,0.27581051837125814,0.5916508526591496,91,kendal,initial,euclid_jaccard,euclid_jaccard,5,2,False,773863,720196,16859,8421,,382,46,0.5839924812316895,2.7140066623687744,0.43700313568115234,352.9488935470581,95.2044902044902,20.740063956144358,47.55586592178771,28.883469409394554,357.4288785457611
31,148,0.18057792783144486,0.562941996530992,48,kendal,initial,euclid_jaccard,euclid_jaccard,4,2,False,755034,677084,16776,9029,,130,38,0.06299948692321777,0.9010319709777832,0.134002685546875,323.94633197784424,93.20415653748987,15.324096637192788,51.23370577281192,23.591832359719174,325.84232330322266
32,333,0.18724743415847278,0.5519352274275049,59,kendal,initial,euclid_jaccard,euclid_jaccard,5,2,False,784145,708974,16919,9378,,288,39,0.2960827350616455,1.906120777130127,0.328998327255249,334.269957780838,92.95235711902379,15.250699839326828,53.57891061452514,23.74315002256463,337.5941586494446
33,340,0.10523775333733132,0.5620983811813536,59,kendal,initial,euclid_jaccard,euclid_jaccard,5,2,False,749318,681733,16401,9119,,295,52,0.3710007667541504,1.8359687328338623,0.3139958381652832,318.43850111961365,93.5975260975261,16.535101375483066,52.53724394785847,25.1535878968558,321.75949358940125
34,372,0.2099585393121075,0.5874950996527271,60,kendal,initial,euclid_jaccard,euclid_jaccard,5,2,False,805178,743134,17023,8929,,320,46,0.42600178718566895,2.273045063018799,0.4320352077484131,363.961385011673,94.49509032842366,18.529928622567418,49.70321229050279,26.995590814988063,367.8364918231964
35,653,0.11609543660988604,0.6023621712457998,65,kendal,initial,euclid_jaccard,euclid_jaccard,5,2,False,759365,710708,16797,7770,,564,51,1.304283618927002,3.6861939430236816,0.6099989414215088,350.7659902572632,95.8015158015158,22.81763961684439,44.08170391061452,30.070263189234247,357.1674566268921
36,416,0.10205595391282482,0.5668334428483796,57,kendal,initial,euclid_jaccard,euclid_jaccard,5,2,False,821092,754609,17164,8990,,362,46,0.5320351123809814,2.2299654483795166,0.3780350685119629,349.5135407447815,94.14092664092664,17.560906343185184,50.37825884543762,26.04353123448805,353.40370535850525
