trial_id,maxNumberOfClusters,maxDissimilarityDistance,similarityThreshold,windowSize,metric,similarityVectors,distanceMetricEmbedding,distanceMetric,numberOfPermutations,ngramms,jaccardWithChars,numOfComparisons,diffObjectsComparedSuccess,sameObjectsCompared,sameObjectsComparedSuccess,selectionVariance,selectedNumOfPrototypes,averageBucketSize,prototypesTime,embeddingsTime,wtaTime,similarityTime,Accuracy,Precision,Recall,F1,Time
47,650,0.3482625803435101,0.6205424839323346,33,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,499334,462770,17222,12939,,532,71,7.561061382293701,25.06269884109497,0.7340190410614014,310.2771921157837,97.26845893512561,40.45448496140538,70.75768156424581,51.47756138865369,344.4949429035187
48,609,0.28753891740327653,0.6059844617747335,29,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,444207,405441,16145,12769,,505,49,7.3027825355529785,22.372812271118164,0.529000997543335,252.57316708564758,96.93777110443777,37.054834098719624,70.90316573556798,48.67272545690602,283.5687620639801
49,672,0.37581556704687524,0.6420418625566058,50,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,354832,324465,16882,12728,,543,92,10.524528503417969,28.47120237350464,0.6759998798370361,237.9224889278412,97.88192954859622,48.792962356792145,69.39594972067039,57.298673842014225,278.447229385376
50,844,0.15827159912247615,0.6004558540694106,33,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,436645,398903,16680,13067,,654,70,13.667636394500732,28.90263319015503,0.9499995708465576,303.8724842071533,97.14667048000382,39.17845937119805,71.21159217877096,50.54731711347019,348.51407384872437
51,527,0.4141689909285923,0.71189080753556,25,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,374679,352408,16177,11051,,440,47,6.164233207702637,21.195127487182617,0.36100172996520996,260.9178845882416,98.56022689356023,65.83685125403527,61.714385474860336,63.708999158957106,289.60524439811707
52,579,0.24771641874879635,0.6299111464837097,55,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,354915,320798,16948,13127,,501,101,6.384081125259399,22.526667833328247,0.6269938945770264,219.57766771316528,97.50655417322083,43.26271797088918,69.87895716945997,53.44014241210503,249.9984381198883
53,845,0.17713559077316796,0.6087897870081569,34,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,419094,383369,17128,12993,,663,69,14.614169597625732,29.48343253135681,0.7600266933441162,294.7929651737213,97.44327660994327,42.585841752595215,71.38035381750466,53.34551068780308,340.42752146720886
54,863,0.10991716044702624,0.6085013725859594,29,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,473153,436059,17101,12930,,701,63,12.306145191192627,28.405606031417847,0.8210582733154297,344.6534357070923,97.30420897087564,41.00145618215515,72.09613594040968,52.27426160337553,386.9532423019409
55,865,0.13607556295582982,0.6078831394915893,30,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,432711,398001,17006,13028,,699,79,13.877939701080322,31.78945565223694,0.7500405311584473,298.7566180229187,97.496424996425,43.268452360001405,71.53747672253259,53.92257923017875,346.2821297645569
56,934,0.1216786722491745,0.6209766275064021,28,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,459636,430703,15643,12407,,763,56,16.170207500457764,37.65612840652466,0.6509993076324463,318.57740569114685,97.88896038896038,48.888516766441995,67.95856610800745,56.867376007401816,373.8967373371124
57,995,0.12869437804219355,0.6058010503497379,27,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,510003,475376,16775,13141,,809,76,17.8914737701416,39.31032395362854,0.8990027904510498,387.37037420272827,97.51310834644168,43.48824880720976,71.60730912476723,54.112887266650546,446.3465642929077
